EVENT_ID,CZ_NAME_STR,TOR_NAME,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,HIGHEST_SPEED,DOW_SPEED,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1170280,ADAIR CO.,GREENFIELD,FISK,5/21/2024,1427,Tornado, ,EF4,4,35,30000000,0,IA,CST-6,185,318,190364,C,1,DMX,0,0,NWS Storm Survey, ,42.38,1300,4,SW,3,E,GREENFIELD ARPT,5/21/2024,1445,41.1579,-94.5951,41.3276,-94.3931,"This large and violent tornado entered into south central Adair County from Adams County.  The tornado remained a multi-vortex circulation as it moved into the county producing high end damage for much of its remaining path.  The tornado encountered several houses in the vicinity of Fontanelle Road and 320th Street.  Many of the structures received at least EF2 damage with one house north of the intersection receiving up to EF4 damage with a sufficiently anchored structure destroyed and slumped into a debris field nearby.  Additional EF4 damage was noted at a farmstead on Jordan Avenue south of 280th Street with the house destroyed and trees chewed down to only the largest trucks and portions of the bark removed.  The path then passed through another wind mill area with additional turbines collapsing west of Kent Avenue.  The tornado then passed over Nodaway Park Ponds and entered the southwest side of Greenfield along SW 3rd Street.  Several structures over the next several blocks had up to EF4 damage from SW 3rd Street over the SE 3rd Street and South of Linn Street and north of Oak and Noble Streets.   Most of these saw complete destruction of the house with much of the debris scattered in the area but not completely swept away.  The tornado weakened slightly for the later half of the destructive path through Greenfield.  EF3 damage was widespread from SE Kent Street and SE 4th Street to the Intersection of E Iowa Street and NE 8th Street.  The tornado exited the east side of Greenfield near the Adair County Fairgrounds.  The tornado continued east northeast and gradually weakened impacting a few more houses before dissipating just south of the intersection of 220th Street and Quebec Avenue.  This tornado produced at least 35 injuries in addition to 4 deaths within Greenfield.  All of the deaths occurred in homes.  Of note, according to media reports, a Doppler on Wheels (DOW) intercept research team measured a wind speed of just over 300 mph approximately 150 feet above ground level with this tornado.","PLEASE NOTE, for hail, wind, heavy rain and flooding, please see separate Storm Data entry for May 20-22. ||Numerous tornadoes occurred on this day with numerous injuries and four fatalities at Greenfield in Adair County.||Multiple rounds of thunderstorms brought torrential rainfall, damaging winds, hail and destructive tornadoes to the state. These thunderstorms were the result of a low pressure system which lifted north into the area on the night of May 20th, 2024, producing slow moving storms that dropped 2 to 4 inches of rainfall. This resulted in flash flooding over portions of northern and central Iowa through the morning of May 21st, 2024.||Following the heavy rainfall through the morning, skies cleared out ahead of an approaching cold front. By the afternoon hours of May 21st, 2024, this cold front produced a line of strong thunderstorms which produced multiple strong tornadoes throughout the state, including one which led to significant damage in the town of Greenfield, IA, among other locations. This line of storms also produced damaging winds, leading to widespread tree damage and power outages throughout the forecast area.",1
5598913,WILLIAMSON CO.,JARRELL,JARRELL,5/27/1997,1440,Tornado,,F5,27,12,40000000,100000,TX,CST,300,,2063121,C,491,EWX,0,0, , ,5.1,1320,1,W,6,SW,JARRELL,5/27/1997,1453,30.82,-97.62,30.77,-97.67,,"Several eyewitnesses reported that the Jarrell tornado was preceded for a period of 8 to 10 minutes by a series of short-lived very small tornadoes that formed from the same supercell thunderstorm.  These touched down, then dissipated in order.",7
35937,KIOWA CO.,GREENSBURG,GREENSBURG,5/4/2007,2003,Tornado,,EF5,11,63,250000000,0,KS,CST-6,205,,5918,C,97,DDC,0,0,NWS Storm Survey, ,28.8,2992,14,SSE,2,NW,GREENSBURG,5/4/2007,2105,37.3934,-99.3826,37.6243,-99.3307,"This killer tornado started in Comanche county and crossed into Kiowa county at 2003 CST / 2103 CDT.  It curved north then northwest before making a complete loop northwest of Greensburg.  Thus, the path was 25.8 miles.||This tornado destroyed nearly 95 percent of the town of Greensburg and despite adequate warning, unfortunately took the life of 11 people, some that were in basements.  First responders arriving on the scene requested three refrigerated refer trucks thinking there would be hundreds of fatalities. It also destroyed a dozen homes and a church south of Greensburg but did not cause injury.  In all, 961 homes and businesses were destroyed, 216 received major damage and 307 received minor damage. ||As the tornado was dissipating it turned northwest, west, south and then back east making a loop.  This was documented on both high resolution doppler radar and through the ground survey.  Also as the tornado was dissipating a new circulation quickly grew northeast of town.||Several oil storage tanks were destroyed causing an environmental concern.  In the town of Greensburg, hazardous material was strewn everywhere.  As of July 26th, the debris was still not fully cleaned up.  Two landfills were filled with debris from the town and this was even as most was burned.  Hundreds of thousands of dump truck loads were taken out.  It was estimated that approximately 400,000 cubic yards of debris was removed.  The major highway running through town was closed for 1 full month.||At one time there were over 150 law enforcement officers (from all over the country) present.  Military was called in for debris removal and rebuilding. ||Damage of insured losses exceeded $150 million, but including un-insured losses, was roughly 250 million dollars.||**** NOTE **** The 11th victim passed away on September 19th, 2007 after a long battle with a head injury sustained during the tornado.","A destructive tornado, the first 5 rating on the new Enhanced-Fujita Scale and the first 5 classification since May 3, 1999 when an F5 tornado ripped through Moore, Oklahoma occurred on this day.  There were 16 tornadoes during about a 4 hour period, one a little over 2 miles wide! Two of the tornadoes existed for over 1 hour as they churned up the ground, leveling homes and causing fatalities along their path.  Miraculously, on 13 people perished, 11 in Greensburg - a miracle because over 90 percent of the town of Greensburg was literately wiped off the face of the earth. ||Another round of tornadoes occurred the following day across generally the same area.  Nearly 250 pivot irrigation sprinklers were damaged or destroyed during the 2 day outbreak.  Due to the number of sprinklers involved and the lack of replacements, some farmers would be out of service for over 1 year.",82
296617,JASPER CO.,JOPLIN,CENTRAL CITY,5/22/2011,1640,Tornado,,EF5,158,1150,2800000000,0,MO,CST-6,201,,49972,C,97,SGF,0,3,NWS Storm Survey, ,22.1,1760,2,SE,2,SSE,DUENWEG,5/22/2011,1700,37.056,-94.5701,37.0544,-94.4105,"National Weather Service survey teams rated the tornado that tracked across the southwest through east central portion of Joplin, Missouri, as an EF5 tornado.  Maximum winds were estimated to have exceeded 200 miles per hour. The tornado had a maximum width of one mile and an overall path length of nearly 21.6 miles, nearly nine miles of which occurred in Jasper County.||The tornado killed 158 directly, three indirectly, and injured over 1150 people.  Sadly, on May 24 a police officer who was volunteering from another department, was struck by lightning while serving in the response efforts and later died.  Equally, a 56 year old man who had been included as a direct fatality was later determined to have died of a heart attack.  Over 10,200 people filed for disaster assistance following the tornado.||The EF-5 rating (greater than 200 mph wind speeds) was mainly arrived at by the total destruction of vehicles, including some vehicles tossed several blocks and semi trucks thrown a quarter of a mile. Parking stops weighing over 300 pounds and re-barred into asphalt were uprooted and tossed.  Other factors in the rating included damage to reinforced concrete structures, and that St. John���s Hospital building structure was compromised.  ||Seven thousand homes were severely damaged or destroyed and another 900 damaged.  Other substantial buildings damaged or destroyed included the Joplin High School and Technical Center along with five other city schools.  Numerous retailers including Home Depot, Sports Academy, Dillons, and Walmart were also destroyed.  The most substantial building impacted was St John's hospital which will be razed due to the tornado.  It was calculated that 2 million cubic yards of debris is attributable to the storm across its relatively short length on the ground.||The tornado initially touched down one half mile southwest of the intersection of JJ Highway and Newton Road in Newton County where several large trees were toppled. ||The tornado rapidly intensified as it moved toward the intersection of Country Club Drive and 32nd Street where it crossed into Jasper County. Damage became more widespread as the tornado crossed Maiden Lane, breaking nearly all windows on three sides of St. Johns Hospital as well as damage to the roof and exterior walls on several floors.  Two patients on oxygen were indirectly suffocated when the generator and a backup generator were damaged after power was cut off.  Three additional patients may have succumbed similarly though sufficient data as to the cause of death was not available.  An additional indirect fatality occurred due to psychological trauma.||The tornado further intensified as it destroyed homes and businesses to the immediate east and north of the hospital. A church school was completely destroyed with the exception of a portion of the sanctuary.  Significant damage to the Greenbriar Nursing Home resulted in the death of 20 mostly elderly patients.  ||The tornado continued to destroy hundreds of frame homes between 32nd and 20th Streets, leading to nearly a fifth of the deaths. Three story apartment complexes had the top two floors removed; other two story complexes were partially leveled. Fourteen deaths occurred in apartments along the track.  Eleven additional deaths occurred in churches along this path.  There were two fatalities in a mobile home (Joplin has a city ordinance prohibiting mobile home parks). ||Well built structures that were heavily damaged or destroyed along this area included the Joplin High School, Franklin Technical Center and Irving Elementary, all of which were free of students due to the weekend.  The tornado also damaged three additional elementary schools.  A bank was totally destroyed with the exception of the vault. A large grocery store was also destroyed.  ||The tornado crossed Rangeline Road near 20th Street. Damage included significant to complete damage to several restaurants and large long-span retail buildings; including Home Depot, Sports Academy and Walmart in this area.  Twenty deaths occurred indoors or in the parking lots of these structures.  Semi trucks on the back side of Walmart were thrown more than a quarter mile.||The tornado continued to move eastward along and south of 20th Street destroying numerous warehouse style facilities, a portion of Joplin East Middle School, and residences through Duquesne Road.||The tornado continued destroying numerous homes as it began weakening. It turned southeast toward Interstate 44 where it threw several semi trucks as it crossed the interstate and moved into Newton County at 32nd Street just west of Kodiak Road.","A strong upper level trough across the central plains region and a strong upper level disturbance along with a frontal boundary in the area produced numerous severe storms with a few supercells across southeast Kansas. One cyclic supercell associated with the system produced a very large and deadly EF-5 tornado that hit the city of Joplin and then spawned two separate tornadoes that moved across southwestern Missouri. A separate tornadic supercell produced an EF-3 tornado that moved into McDonald County from Northeastern Oklahoma. ||Continuing thunderstorms lasted into May 23 as another line of thunderstorms moved across the region. This line of storms produced reports of large hail, damaging winds and a weak EF-0 tornado in south central Missouri. As the storms moved over the Joplin area, two police officers were struck by lightning while aiding in the post tornado efforts. One of the two officers later died of injuries from the lightning strike.",308
5558501,FOND DU LAC CO.,OAKFIELD,OAKFIELD,7/18/1996,1805,Tornado,,F5,0,12,39500000,900000,WI,CST,265,,2042843,C,39,MKX,0,0, , ,20,400,4,WNW,1,NW,EDEN,7/18/1996,1835,43.7,-88.62,43.72,-88.38,,"A violent tornado struck the village of Oakfield at about 1815CST after it touched down 4 miles WNW of the village.  During its approach on Oakfield it intensified to a F3 rating.  When it tore through the village it intensified to a F4, but along its path 1 to 4 miles east of the village it intensified to F5 strength (estimated 265 mph winds).  In this span 4 homes were completely swept clean off their foundations and a couple automobiles became airborne missles for a distance of about 400 feet.  The core width of the most intense damage was about 150 to 200 yards, although at times, some secondary damage was observed in a 400 yard wide path.",8
30000001,MARION CO.,HACKLEBURG,HACKLEBURG,4/27/2011,,Tornado,,EF5,72,145,1290000000,,AL,,210,,,,,,,,,,132,1320,,,,,,,,,,,,,,
